Meanings,J Translation,English Definition,pronunciation,POS
star,星,A bright planet of gas in the night sky,stɑr,形容詞(adj.)
stare,じっと見る,To look at someone or something for a long time,stɛr,動詞(verb)
start,始め；開始,first time or place that a thing exists; beginning,stɑrt,名詞(n.)
state,州,"region within a country, with its own government",steɪt,名詞(n.)
statement,発言；陳述,act or process of saying something formally,ˈsteɪtmənt,名詞(n.)
station,駅,place where you can catch a train or a bus,ˈsteɪʃən,名詞(n.)
stay,滞在する,To spend time visiting a place or someone’s home,steɪ,動詞(verb)
steal,盗む,To secretly take something that belongs to another,stil,動詞(verb)
step,階段；ステップ,flat horizontal piece that forms stairs,stɛp,名詞(n.)
stick,棒,long thin piece of wood from a tree,stɪk,名詞(n.)
still,まだ；それでも；なお,(used of an action or condition that is ongoing),stɪl,副詞(adv)
stone,石,"hard, solid piece of rock",stoʊn,名詞(n.)
stop,止まる,To finish moving or to come to an end,stɑp,動詞(verb)
storage,貯蔵；保管；保管場所,act of storing something; a depository for goods,ˈstɔrəʤ,名詞(n.)
store,店,place where you can go to buy things,stɔr,名詞(n.)
story,話；物語,an account or description of how something happened,ˈstɔri,名詞(n.)
straight,まっすぐな,"Not having curves, bends, or angles",streɪt,形容詞(adj.)
strange,奇妙な,Unusual or odd; surprising because unexpected,streɪnʤ,形容詞(adj.)
stranger,見知らぬ人,Someone you do not know,ˈstreɪnʤər,名詞(n.)
street,道；通り,road in a city with buildings and places to walk,strit,名詞(n.)
strike,打つ；殴る,To hit something,straɪk,動詞(verb)
strong,強い；力強い,Having big muscles; physically powerful,strɔŋ,形容詞(adj.)
strongly,強く,With strength or in a strong manner,ˈstrɔŋli,副詞(adv)
student,学生,person studying at school,ˈstudənt,名詞(n.)
study,勉強する,To focus on learning something usually at school,ˈstʌdi,動詞(verb)
stuff,物,"generic description for things, materials, objects",stʌf,名詞(n.)
stupid,ばか；頭が悪い,not intelligent; lacking the ability to learn easily,ˈstupəd,形容詞(adj.)
subject,主語,the person or thing that does the action of a verb,ˈsʌbʤɪkt,名詞(n.)
such,そのような；とても～な,Like or similar,sʌʧ,限定詞(det.)
sudden,突然の,Happening or done quickly or unexpectedly,ˈsʌdən,形容詞(adj.)
suddenly,突然に,In an unexpected or very quick manner,ˈsʌdənli,副詞(adv)
suggest,提案する,to mention something that could be done; propose,səgˈʤɛst,動詞(verb)
suggestion,提案,idea about what someone should do,səgˈʤɛsʧən,名詞(n.)
suitable,適した；ふさわしい,right for a particular purpose or occasion,ˈsutəbəl,形容詞(adj.)
summer,夏,part of the year when the weather is hot,ˈsʌmər,名詞(n.)
sunday,日曜日,"seventh day of the week, the day after Saturday",ˈsʌnˌdeɪ,名詞(n.)
support,支える；支援する,To give assistance or advice to someone,səˈpɔrt,動詞(verb)
supporter,サポーター; 支持者,someone who shows they are in favor of idea/plan,səˈpɔrtər,名詞(n.)
suppose,思う；仮定する,To imagine or guess what might happen,səˈpoʊz,動詞(verb)
sure,確信している,having no doubts about something,ʃʊr,形容詞(adj.)
surely,確かに；きっと,With certainty; definitely,ˈʃʊrli,副詞(adv)
surprise,驚かせる,To do something that another person didn't expect,sərˈpraɪz,動詞(verb)
surprisingly,驚くほど,In an unexpected manner ; to an unexpected degree,sərˈpraɪzɪŋli,副詞(adv)
sweet,甘い,tasting like sugar; containing sugar,swit,形容詞(adj.)
swim,泳ぐ,to move through water by moving parts of the body,swɪm,動詞(verb)
system,体系；システム,"set of organized, planned ideas that work together",ˈsɪstəm,名詞(n.)
table,テーブル,raised flat surface,ˈteɪbəl,名詞(n.)
tail,尾,part of an animal's body that extends from it's back end,teɪl,名詞(n.)
take,持ち帰る,To pick up something and go away with it,teɪk,動詞(verb)
talk,話す,To say things or ideas to someone with words,tɔk,動詞(verb)
tall,背の高い,High in height,tɔl,形容詞(adj.)
tape,テープで貼る,To stick things together using an adhesive strip,teɪp,動詞(verb)
taste,味,the flavor in your mouth from food or drink,teɪst,名詞(n.)
tax,税,Money taken by a government from its people,tæks,名詞(n.)
teach,教える,To help someone learn or do something,tiʧ,動詞(verb)
teacher,先生,"person who teaches others, especially in a school",ˈtiʧər,名詞(n.)
team,チーム,group of people working on a task together,tim,名詞(n.)
tear,涙,drop of salty water from the eye,tɛr,名詞(n.)
telephone,電話,machine used to talk to someone who is far away,ˈtɛləˌfoʊn,名詞(n.)
television,テレビ,"device that broadcasts programs, movies or show",ˈtɛləˌvɪʒən,名詞(n.)
tell,伝える;  話す,To say or communicate information to someone,tɛl,動詞(verb)
ten,10,10,tɛn,数詞(num.)
tend,～する傾向がある,To regularly behave in a certain way,tɛnd,動詞(verb)
tendency,傾向,likelihood to behave in a particular way,ˈtɛndənsi,名詞(n.)
term,学期,fixed period of weeks for learning at school,tɜrm,名詞(n.)
terrible,ひどい；恐ろしい,Very bad; horrible,ˈtɛrəbəl,形容詞(adj.)
test,試験；テスト,examination; questions to measure knowledge,tɛst,名詞(n.)
than,～よりも,Used to compare two things that are not equal,ðæn,接続詞(conj.)
thank,感謝する,to tell someone you are grateful to them,θæŋk,動詞(verb)
that,それ；あれ；そのようなこと，その；あの，それくらい,used to show which person or thing we are talking about,ðæt,形容詞(adj.)
their,彼らの；彼女らの；それらの,Belonging to them,ðɛr,限定詞(det.)
them,彼らを；彼女らを；それらを,Referring to specified other people,ðɛm,代名詞(pron.)
themselves,彼ら自身；彼女ら自身；それら自体,reflexive form of they,ðɛmˈsɛlvz,代名詞(pron.)
then,あのとき；それから,At that time not now,ðɛn,副詞(adv)
there,そこ；あそこ；そこで；そこに,"In that place or position, at that location",ðɛr,副詞(adv)
these,これら,"People, things, or ideas near you",ðiz,限定詞(det.)
they,彼ら；彼女ら；それら,"Used to refer to two or more people, animals, or things",ðeɪ,代名詞(pron.)
thick,ぶ厚い,Having a large distance between two surfaces,θɪk,形容詞(adj.)
thing,あの物；あのこと,something you cannot remember the name of,θɪŋ,名詞(n.)
think,考える；思う,"To have an idea, opinion or belief about something",θɪŋk,動詞(verb)
thirst,渇き，喉が渇く,need for something to drink,θɜrst,名詞(n.)
thirteen,13,13,ˈθɜrˈtin,数詞(num.)
thirty,30,number 30,ˈθɜrdi,数詞(num.)
this,この，これ，こんなに,"person, thing, or idea near you",ðɪs,形容詞(adj.)
those,あれら,used to show which people or things we are talking about,ðoʊz,限定詞(det.)
though,～だけれども,"Although, despite the fact that",ðoʊ,副詞(adv)
thousand,1000 ,"number 1,000",ˈθaʊzənd,数詞(num.)
three,3,number 3,θri,数詞(num.)
throat,喉,inside of the neck that swallows,θroʊt,名詞(n.)
through,〜を通じて; 〜を通して；完全に,From one end or side of something to the other end or side,θru,形容詞(adj.)
throughout,至る所に；～の間中ずっと,"Over or across an entire thing or place, or in every part of something",θruˈaʊt,前置詞(prep.)
throw,投げる,To use your arm to make a thing fly through the air,θroʊ,動詞(verb)
thursday,木曜日,fourth day of the week; the day after Wednesday,ˈθɜrzˌdeɪ,名詞(n.)
tie,結ぶ；縛る,To attach things (together) with a string or rope,taɪ,動詞(verb)
tight,きつい；ピンと張った：詰まった；密接な；厳しい,(rope or tie) pulled strongly,taɪt,形容詞(adj.)
till,～まで,Until,tɪl,接続詞(conj.)
time,時間（という概念）,"Something measured in minutes, hours, days, etc",taɪm,名詞(n.)
tire,疲れさせる；飽きさせる,Lose energy and feel that you need to rest,ˈtaɪər,名詞(n.)
to,～へ；～に；～まで；～に対して；～すること；～ために,Move towards; in the direction of,tu,副詞(adv)
today,今日,on this day; at the time that is happening now,təˈdeɪ,副詞(adv)
together,一緒に；まとめて,Near close in the same place not far in a family or group,təˈgɛðər,副詞(adv)
tomorrow,明日；未来,day after today,təˈmɑˌroʊ,副詞(adv)
tonight,今夜,night following this day,təˈnaɪt,副詞(adv)
tooth,歯,"hard white things in the mouth, used to bite",tuθ,名詞(n.)
top,最上部；最上位,highest or upper part or point of something,tɑp,名詞(n.)
total,合計,whole number or amount of something,ˈtoʊtəl,名詞(n.)
totally,全く,In a complete way; completely; absolutely,ˈtoʊtəli,副詞(adv)
touch,触る；接する,"to feel an object with your fingers, etc",tʌʧ,動詞(verb)
toward,～の方へ；～へ向いて；～に対して,Facing or moving in the direction of something,təˈwɔrd,副詞(adv)
town,町,small city,taʊn,名詞(n.)
track,跡；道，追跡する,To follow behind someone to see what they are doing,træk,動詞(verb)
train,電車,vehicle that carries people and runs on rails,treɪn,名詞(n.)
travel,旅行する,to go to a place that is far away,ˈtrævəl,動詞(verb)
treat,扱う,To act in a certain way toward someone,trit,動詞(verb)
treatment,取り扱い,way someone acts toward another,ˈtritmənt,名詞(n.)
tree,木,tall green plants in a forest,tri,名詞(n.)
trip,旅行,journey or visit to a place,trɪp,名詞(n.)
trouble,悩み；困難；面倒；もめごと；病気；故障,state of difficulty or stress,ˈtrʌbəl,名詞(n.)
true,真実の; 本当の,Agreeing with the facts; not false; real or actual,tru,副詞(adv)
truly,本当に,In accordance with truth or fact or reality,ˈtruli,副詞(adv)
trust,信頼する，信頼；委託,To be confident that someone is honest and reliable,trʌst,動詞(verb)
truth,真理；真実,real facts about something,truθ,名詞(n.)
try,試す；やってみる,"To make an effort, to attempt to do something",traɪ,動詞(verb)
tuesday,火曜日,second day of the wee; the day after Monday,ˈtuzdi,名詞(n.)
twelve,12,12,twɛlv,数詞(num.)
twenty,20,number 20,ˈtwɛnti,数詞(num.)
twice,2度；2倍,Two times,twaɪs,副詞(adv)
two,2,2,tu,数詞(num.)
ugly,醜い,Unpleasant to look at; not attractive,ˈʌgli,形容詞(adj.)
unable,〜することができない,Not being able to do something,əˈneɪbəl,形容詞(adj.)
uncertainty,不確実なこと,The feeling that you don't really know what will happen,ənˈsɜrtənti,名詞(n.)
unclear,はっきりしない； 不明確な,Not easy to understand; not obvious,ənˈklɪr,形容詞(adj.)
under,以下の,"In the same place as another thing, but lower",ˈʌndər,形容詞(adj.)
understand,分かる；理解する,"to know the meaning of language, what someone says",ˌʌndərˈstænd,動詞(verb)
unemployment,失業,state of being unemployed or not having a job,ˌʌnɪmˈplɔɪmənt,名詞(n.)
unfortunately,不運にも,in a way that is to be regretted; unluckily,ənˈfɔrʧənətli,副詞(adv)
unknown,知られていない,Being unfamiliar or not known,ənˈnoʊn,名詞(n.)
unless,～でない限り,negative of 'if',ənˈlɛs,接続詞(conj.)
until,～まで,"Up to, to indicate a point in time when something happens",ənˈtɪl,接続詞(conj.)
unusual,珍しい,Being rare or uncommon; not ordinary; strange,ənˈjuʒˌuəl,形容詞(adj.)
up,上へ；立って；起こって,Move higher; raise,ʌp,形容詞(adj.)
upon,〜の上に,More formal term for on,əˈpɑn,前置詞(prep.)
us,私たちを,Belonging to the speaker and other people,ʌs,代名詞(pron.)
use,使う；利用する,"to do something with, for a task or purpose",juz,動詞(verb)
useful,役に立つ,that can help with a particular task,ˈjusfəl,形容詞(adj.)
user,使用者,"person that uses a service or thing, e.g. a website",ˈjuzər,名詞(n.)
usual,いつもの,being the way things occur most of the time,ˈjuʒəwəl,形容詞(adj.)
usually,普通は,Normally; regularly,ˈjuʒəwəli,副詞(adv)
van,小型トラック,truck with an enclosed cargo space,væn,名詞(n.)
very,とても，まさに,lot; much,ˈvɛri,動詞(verb)
video,動画；ビデオ,recording capturing action with sound,ˈvɪdioʊ,名詞(n.)
view,見えるもの、視界,things you are able to see from a specific place,vju,名詞(n.)
visit,訪ねる，訪問する,"To go to a place for a time, usually for a reason",ˈvɪzət,動詞(verb)
